0. member/guest,,1. found this club,,,,2. how many attend if 3 meetings a month,3. what day for 3rd meeting,,,4. interested to be on committee,,,5. dues increase,,,6. where else in wales club,7. more socials,,8. what socials,,,,,,9. meeting duration,,,10. any other
member,guest,facebook,meetup,specifically looking for tm club,other,how many,2nd wed,4th wed,other,yes,no,I do already,don't mind,ok slight,would not pay more,where,yes,no,dinner,more freq pub nights,magic,minigolf,laser game,other,about right,too short,too long,any other
x,,,x,,,2,x,,,,x,,x,,,,x,,,,,,x,,x,,,
,x,,x,x,,1,,x,,,x,,,,x,swansea,x,,,x,,,,,x,,,
x,,,x,,,2.5,x,x,any,,x,,x,,,,x,,x,x,,,x,,x,,x,
x,,,,x,,3,x,x,,,,x,,x,,caerphilly,x,,,,x,,,anything,,,x,
,x,,,x,,2,,,thursday,,x,,,x,,,x,,x,,,,,,x,,,difficult to socialize in pub due to religion
x,,x,,,,3,x,,,,,x,x,,,,x,,x,x,x,x,x,,,,x,
x,,,,,google,2,x,,,x,,,,x,,,x,,x,,x,x,,,x,,,
x,,,,x,,2,,,-,x,,,,,x,,x,,x,x,x,x,x,,x,,,
x,,,,x,,2,,x,,,,,x,,,"valleys - Pontypridd, Merthyr",x,,,,x,,,,x,,,
,x,x,,x,,2,,,n/a,,x,,,x,,,,,x,x,,x,,,x,,,
x,,,,x,,1.5,,x,,,x,,,,x,,x,,x,,,,,,,,x,
x,,,,,in work,3,,,5th wed,,x,,x,,,,x,,x,,x,,,,,,x,
x,,,,x,,2.5,x,,,,,,,x,,swansea area,,x,,,,,,,,,x,
x,,,x,,,3,x,,,,,x,x,,,swansea,x,,x,,x,,,clubbing,x,,,"explanation of pathways, club officer roles, easyspeak, on regular basis as educationals"
x,,,,x,,2.5,x,x,,,,x,x,,,,x,,x,x,x,x,x,,x,,,comedy club
x,,,,,family,2,x,,friday,x,,,,x,,swansea,x,,x,,x,x,x,bowling,x,,x,"demonstration easyspeak, navigating pathways"
12,3,2,4,9,2,15,8,6,5,2,7,4,7,5,3,5,13,1,10,6,8,5,5,2,10,0,6,3